PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,2,"Taylor, Mrs. Anne",female,64.6,3,2,T79489,28.1991,NaN,C
2,0,3,"Cumings, Mrs. John Bradley",female,17.0,2,3,T18339,85.0214,NaN,C
3,1,2,"Bonnell, Miss. Elizabeth",female,63.0,2,1,T56920,145.3535,NaN,S
4,0,1,"Moran, Mr. James",male,40.8,3,0,T80497,115.0878,NaN,S
5,0,3,"Allen, Mr. William Henry",male,40.7,1,2,T23281,99.8518,NaN,C
6,0,3,"Sandstrom, Miss. Marguerite Rut",female,36.6,0,0,T16037,101.193,NaN,Q
7,1,1,"Brown, Miss. Clara",female,35.8,3,2,T16613,53.9919,NaN,S
8,1,3,"Cumings, Mrs. John Bradley",female,11.9,3,0,T66793,20.9119,NaN,Q
9,0,1,"Wilson, Mr. George",male,10.3,3,2,T24258,57.2023,NaN,Q
10,1,1,"Moran, Mr. James",female,4.4,2,2,T89463,131.0309,NaN,S
11,1,2,"Moran, Mr. James",male,22.6,0,2,T73676,107.0004,NaN,Q
12,1,1,"Smith, Mr. John",male,35.3,1,1,T55080,90.8279,NaN,Q
13,0,3,"Futrelle, Mrs. Jacques Heath",female,51.3,1,3,T28341,79.0736,NaN,Q
14,0,3,"Brown, Miss. Clara",male,17.6,2,0,T48248,20.3841,NaN,C
15,1,3,"Cumings, Mrs. John Bradley",female,65.5,1,2,T86245,72.9993,NaN,Q
16,1,1,"Cumings, Mrs. John Bradley",male,32.8,2,2,T33739,147.5186,NaN,Q
17,1,1,"Allen, Mr. William Henry",female,10.1,1,2,T59247,59.0345,NaN,C
18,1,1,"Futrelle, Mrs. Jacques Heath",female,56.6,3,1,T72983,70.0048,NaN,C
19,0,1,"Moran, Mr. James",male,49.8,2,0,T26890,113.7524,NaN,S
20,1,3,"Smith, Mr. John",female,36.1,3,2,T69152,50.5809,NaN,S
21,0,1,"Johnson, Mrs. Oscar W",male,4.9,1,0,T65092,74.4272,NaN,C
22,0,3,"Moran, Mr. James",male,55.5,0,0,T38841,19.1988,NaN,S
23,1,1,"Braund, Mr. Owen Harris",male,40.9,0,1,T56973,124.7809,NaN,Q
24,0,1,"Cumings, Mrs. John Bradley",female,14.0,0,1,T22937,14.7851,NaN,S
25,0,3,"Johnson, Mrs. Oscar W",male,3.9,0,0,T47818,39.358,NaN,C
26,0,3,"Taylor, Mrs. Anne",male,29.3,2,2,T19432,5.8569,NaN,S
27,1,2,"Allen, Mr. William Henry",female,13.0,1,0,T27638,39.5194,NaN,C
