PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Passenger_0,male,37.4,3,0,32134C,44.0,B,S
2,1,3,Passenger_1,female,15.0,0,1,18190A,41.56,,S
3,0,3,Passenger_2,male,31.6,1,0,14350,,C,S
4,0,3,Passenger_3,male,29.6,3,1,53686A,41.0,B,S
5,0,2,Passenger_4,male,34.5,3,3,38700C,6.8,F,S
6,1,1,Passenger_5,female,31.6,0,2,39420B,5.07,,S
7,0,3,Passenger_6,male,35.3,3,1,35177C,62.7,D,S
8,0,2,Passenger_7,male,25.6,0,1,49651C,23.38,,C
9,0,3,Passenger_8,female,30.8,3,0,64339C,73.41,,C
10,1,3,Passenger_9,female,12.8,3,3,51070,3.41,C,C
11,0,1,Passenger_10,female,,2,0,70703C,31.14,B,S
12,0,3,Passenger_11,female,49.5,3,3,35406B,,,S
13,0,2,Passenger_12,male,34.5,1,3,11066C,65.21,B,S
14,0,3,Passenger_13,male,29.7,2,0,62940,72.71,,S
15,1,3,Passenger_14,female,56.5,0,2,60469A,61.85,,Q
16,0,3,Passenger_15,female,10.9,1,3,33350,11.99,C,C
17,1,1,Passenger_16,male,14.5,0,2,14114C,23.9,D,S
18,1,2,Passenger_17,male,54.0,0,0,59199A,58.2,B,S
19,1,3,Passenger_18,female,30.6,1,2,75133B,9.07,B,S
20,0,3,Passenger_19,male,,0,3,53266C,,C,S
21,1,3,Passenger_20,male,13.2,2,0,22595C,103.09,,C
22,0,1,Passenger_21,male,,1,2,49218,43.7,,C
23,1,2,Passenger_22,male,,0,0,56178A,2.1,,S
24,1,2,Passenger_23,female,14.7,0,0,17787A,28.74,,S
25,1,3,Passenger_24,male,28.0,3,2,74517C,27.93,C,S
26,1,2,Passenger_25,female,25.3,3,3,95985B,124.91,D,S
27,1,2,Passenger_26,male,33.6,0,3,13005A,108.3,D,S
28,1,3,Passenger_27,male,14.3,1,3,10334C,75.58,B,S
29,1,1,Passenger_28,female,47.5,2,3,86639B,37.99,C,S
30,1,3,Passenger_29,male,42.8,0,1,35169C,92.02,F,S
31,0,3,Passenger_30,male,,0,0,33452C,10.33,,S
32,0,3,Passenger_31,male,27.0,0,0,79433C,87.68,,C
33,1,2,Passenger_32,male,28.1,3,1,67253A,82.48,C,S
34,1,1,Passenger_33,male,19.1,1,0,85210C,44.7,,S
35,1,3,Passenger_34,female,23.8,0,0,29970C,89.87,,S
36,0,3,Passenger_35,female,26.2,3,2,39184,34.35,D,S
37,1,3,Passenger_36,female,52.6,0,1,90880C,5.72,C,S
38,0,1,Passenger_37,male,43.3,0,0,48365B,84.23,,C
39,0,3,Passenger_38,male,43.1,1,0,15051C,47.02,,S
40,0,3,Passenger_39,male,35.2,3,1,80080,71.06,,S
41,0,3,Passenger_40,male,14.4,2,1,79891A,,F,S
42,0,3,Passenger_41,male,,1,2,61662C,24.72,D,C
43,1,3,Passenger_42,male,43.6,2,2,68475C,,B,S
44,1,3,Passenger_43,female,,3,3,78052C,104.94,,S
45,1,1,Passenger_44,male,38.9,3,3,77015C,73.41,B,S
46,1,2,Passenger_45,male,62.5,2,2,50982B,25.51,C,C
47,1,1,Passenger_46,female,44.9,3,0,55078B,16.57,,S
48,0,2,Passenger_47,male,49.8,1,1,60873C,31.52,D,C
49,1,2,Passenger_48,female,33.1,0,2,68784A,24.16,B,S
50,1,1,Passenger_49,female,43.6,2,3,78083,58.31,,Q
51,0,2,Passenger_50,female,20.0,0,1,38130A,52.75,D,S
52,1,1,Passenger_51,male,41.1,2,3,58975,59.77,E,S
53,0,3,Passenger_52,female,39.2,0,0,77772C,20.57,C,S
54,1,3,Passenger_53,male,34.1,0,0,76116B,47.52,,Q
55,0,1,Passenger_54,female,48.4,1,3,24439,21.95,C,Q
56,1,3,Passenger_55,male,,0,1,36107A,55.08,B,S
57,1,3,Passenger_56,male,27.4,2,3,53394,91.14,,S
58,0,2,Passenger_57,male,,0,1,48665C,0.13,D,S
59,0,1,Passenger_58,male,15.6,3,2,42425C,66.92,B,S
60,0,3,Passenger_59,female,33.2,0,3,51432B,28.61,,S
61,0,3,Passenger_60,female,5.9,0,3,92778B,78.09,B,S
62,0,3,Passenger_61,female,44.7,3,1,94360C,55.55,B,S
63,0,1,Passenger_62,male,30.7,3,2,93295A,64.16,,Q
64,0,1,Passenger_63,female,22.7,2,1,13669C,52.27,,S
65,0,2,Passenger_64,male,18.3,3,1,25436C,96.49,,S
66,1,2,Passenger_65,female,26.7,3,3,46030C,62.16,F,S
67,1,2,Passenger_66,female,39.6,2,3,78402A,25.31,F,S
68,0,2,Passenger_67,male,37.7,2,1,19251A,53.46,,Q
69,1,3,Passenger_68,female,20.1,0,0,62647C,37.09,,Q
70,1,3,Passenger_69,male,18.2,1,0,75723C,55.68,B,S
71,1,2,Passenger_70,male,39.2,2,0,96498,35.31,,C
72,1,3,Passenger_71,male,,3,3,67245C,26.31,,S
73,0,2,Passenger_72,male,30.8,0,3,17408,56.97,,Q
74,1,2,Passenger_73,female,31.7,3,2,79069A,51.95,,Q
75,0,2,Passenger_74,male,34.4,2,3,73982C,87.24,D,C
76,1,3,Passenger_75,male,42.0,1,2,96190,35.48,,Q
77,1,3,Passenger_76,male,12.3,0,3,64617,19.33,E,S
78,1,3,Passenger_77,female,3.2,2,0,90212A,37.26,,S
79,0,2,Passenger_78,female,,2,0,16005C,6.93,C,Q
80,1,3,Passenger_79,female,55.2,3,1,79440,64.55,B,C
81,0,1,Passenger_80,female,58.3,1,1,21973A,8.59,C,S
82,1,3,Passenger_81,male,55.6,2,2,77797C,15.41,E,S
