PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,1,Person_0,male,48.60097159547524,1,1,TCK86060,11.820251542878701,,C
2,1,3,Person_1,male,34.38458263410972,1,0,TCK36673,20.68050414860633,C141,S
3,0,3,Person_2,male,21.508952564979644,3,3,TCK73471,41.240460575326104,,Q
4,0,3,Person_3,female,36.382658732389835,2,2,TCK27156,44.96096142794279,C141,C
5,0,3,Person_4,male,23.572735656934114,0,1,TCK67287,,C141,S
6,1,3,Person_5,female,20.275594831715978,0,0,TCK11645,,,S
7,0,3,Person_6,female,13.838922644738219,4,3,TCK69076,15.98964965382144,,S
8,0,3,Person_7,male,5.474396705475932,4,2,TCK85351,9.600376825654585,,S
9,0,2,Person_8,male,24.541068108167764,3,0,TCK60151,19.682135617005862,,S
10,1,2,Person_9,female,32.212748858881845,0,1,TCK77384,11.122210858593483,,S
11,0,2,Person_10,female,28.647268619791543,3,4,TCK43541,50.23088590808962,,C
12,0,3,Person_11,male,24.17646300873698,2,4,TCK82847,42.0901324659627,,S
13,0,3,Person_12,male,16.759555150245063,1,2,TCK97099,24.111003241401768,,S
14,0,1,Person_13,male,38.51544668358956,0,0,TCK90739,19.713650196364803,C141,S
15,1,3,Person_14,female,11.56015312074781,2,3,TCK60955,13.565127623220041,,S
16,0,3,Person_15,female,40.86439079380865,0,0,TCK19290,38.33519850468043,C141,S
17,1,1,Person_16,female,15.968961735025854,4,4,TCK68942,125.60532020426021,C141,S
18,1,3,Person_17,female,19.46590667705751,3,2,TCK92667,57.87085218746234,C141,S
19,1,3,Person_18,female,9.465007331380523,4,1,TCK40143,68.20995623925525,C141,Q
20,0,1,Person_19,male,,1,0,TCK34509,89.90231861960383,,S
21,1,3,Person_20,male,43.6543744186917,4,4,TCK97780,21.665071424034885,,S
22,0,2,Person_21,female,37.21879323821539,0,3,TCK46741,5.0,,S
23,1,3,Person_22,female,43.69790956839249,4,2,TCK36898,48.717024640749315,,S
24,1,3,Person_23,male,37.3099956430751,0,1,TCK95674,10.454161330910827,C141,S
25,1,3,Person_24,male,14.548622400574832,1,0,TCK72948,42.0874235049596,C141,C
26,1,2,Person_25,male,25.3689508594142,4,3,TCK71768,67.25958506564754,,Q
27,1,3,Person_26,male,19.077212192355525,3,1,TCK53262,76.54018723309657,,S
28,1,3,Person_27,female,48.62804865654657,3,4,TCK15506,17.96528580131723,,S
29,1,2,Person_28,male,13.244958950031638,3,4,TCK30605,35.91640195450329,,S
30,1,3,Person_29,female,42.511767651447556,4,3,TCK88590,48.50634919423486,,S
31,0,1,Person_30,male,42.50135418152277,4,4,TCK38231,85.59588509648717,,S
32,0,3,Person_31,male,,4,2,TCK89397,71.64596322999314,C141,S
33,1,2,Person_32,male,24.264387703187037,0,3,TCK87123,221.03970779256846,,S
34,1,1,Person_33,female,,1,4,TCK23515,5.0,C141,S
35,1,1,Person_34,female,61.9431257115438,3,0,TCK97211,28.767268664043762,,C
36,0,3,Person_35,male,21.353016522928247,0,4,TCK48622,14.788701972652483,C141,C
37,1,2,Person_36,female,8.509436534546964,3,2,TCK26600,6.385611393816822,,S
38,0,3,Person_37,female,3.6798595252913096,0,1,TCK37892,121.24629707991228,C141,S
39,0,1,Person_38,male,39.97796840405864,4,1,TCK93279,309.79093881747303,,Q
40,0,2,Person_39,male,3.6358970871798277,3,4,TCK79310,9.958914299368873,,S
41,0,3,Person_40,female,,4,1,TCK31801,5.0,,C
42,0,3,Person_41,female,36.12238461854545,3,4,TCK47695,16.08293635982966,C141,S
43,1,2,Person_42,female,32.5924575156188,2,2,TCK38853,90.04866474250778,,S
44,1,3,Person_43,male,35.956228098578414,0,1,TCK14429,,,S
45,1,3,Person_44,male,33.112057981211954,2,0,TCK14606,5.0,,C
46,1,3,Person_45,female,,0,4,TCK14478,5.0,,S
47,1,2,Person_46,male,,1,1,TCK93816,27.88038548107135,C141,S
48,0,1,Person_47,male,20.522068061580562,3,2,TCK50134,134.28439781355402,,S
49,1,3,Person_48,female,19.182767766208464,1,2,TCK79963,16.83804482874868,,C
50,1,1,Person_49,female,41.62268536607654,1,0,TCK80897,27.857239230356335,,Q
51,0,3,Person_50,male,42.60558023753089,0,2,TCK35475,5.375575000711974,C141,Q
52,1,3,Person_51,male,36.317154470459116,2,2,TCK76177,34.0187341911597,C141,Q
53,0,3,Person_52,female,46.56891133645899,4,1,TCK31730,59.626437614450886,,S
54,1,3,Person_53,male,13.507427856730672,0,4,TCK31113,15.814391250310205,,S
55,0,3,Person_54,male,53.34113756171592,4,3,TCK30011,17.599390751814454,,S
56,1,2,Person_55,female,51.32534070397162,1,2,TCK65746,92.25010956987668,C141,S
57,1,3,Person_56,female,40.298707961440456,4,2,TCK52853,5.0,,C
58,0,2,Person_57,male,54.945184722794835,2,3,TCK95195,50.59477017748607,,C
59,0,2,Person_58,male,6.807275092511166,0,2,TCK46818,25.034246982384232,,S
60,0,3,Person_59,male,22.657726092322875,2,1,TCK47321,17.71820320123063,,S
61,0,3,Person_60,female,19.705751550452668,2,1,TCK31309,,C141,Q
62,0,3,Person_61,male,,0,3,TCK28688,89.99014307452593,,S
63,0,3,Person_62,male,15.298029645569962,2,2,TCK38176,40.86664658310077,,S
64,0,2,Person_63,female,40.6049320907248,3,2,TCK78879,5.0,C141,S
65,0,2,Person_64,female,49.187506015953986,3,4,TCK77592,30.939215478588082,,S
